Unnamed: 0,Number of Stars,Number of Planets,Discovery Year,Controversial Flag,Orbital Period [days],Orbital Period Upper Unc. [days],Orbital Period Lower Unc. [days],Orbital Period Limit Flag,Orbit Semi-Major Axis [au],Orbit Semi-Major Axis Upper Unc. [au],Orbit Semi-Major Axis Lower Unc. [au],Orbit Semi-Major Axis Limit Flag,Planet Radius [Earth Radius],Planet Radius Upper Unc. [Earth Radius],Planet Radius Lower Unc. [Earth Radius],Planet Radius Limit Flag,Planet Radius [Jupiter Radius],Planet Radius Upper Unc. [Jupiter Radius],Planet Radius Lower Unc. [Jupiter Radius],Planet Radius Limit Flag.1,Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.,Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.,Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag,Planet Mass or Mass*sin(i) [Jupiter Mass],Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.,Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.,Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag,Planet Mass or Mass*sin(i) Provenance,Eccentricity,Eccentricity Upper Unc.,Eccentricity Lower Unc.,Eccentricity Limit Flag,Insolation Flux [Earth Flux],Insolation Flux Upper Unc. [Earth Flux],Insolation Flux Lower Unc. [Earth Flux],Insolation Flux Limit Flag,Equilibrium Temperature [K],Equilibrium Temperature Upper Unc. [K],Equilibrium Temperature Lower Unc. [K],Equilibrium Temperature Limit Flag,Data show Transit Timing Variations,Stellar Effective Temperature [K],Stellar Effective Temperature Upper Unc. [K],Stellar Effective Temperature Lower Unc. [K],Stellar Effective Temperature Limit Flag,Stellar Radius [Solar Radius],Stellar Radius Upper Unc. [Solar Radius],Stellar Radius Lower Unc. [Solar Radius],Stellar Radius Limit Flag,Stellar Mass [Solar mass],Stellar Mass Upper Unc. [Solar mass],Stellar Mass Lower Unc. [Solar mass],Stellar Mass Limit Flag,Stellar Metallicity [dex],Stellar Metallicity Upper Unc. [dex],Stellar Metallicity Lower Unc. [dex],Stellar Metallicity Limit Flag,Stellar Metallicity Ratio,Stellar Surface Gravity [log10(cm/s**2)],Stellar Surface Gravity Upper Unc. [log10(cm/s**2)],Stellar Surface Gravity Lower Unc. [log10(cm/s**2)],Stellar Surface Gravity Limit Flag,RA [deg],Dec [deg],Distance [pc],Distance [pc] Upper Unc,Distance [pc] Lower Unc,V (Johnson) Magnitude,V (Johnson) Magnitude Upper Unc,V (Johnson) Magnitude Lower Unc,Ks (2MASS) Magnitude,Ks (2MASS) Magnitude Upper Unc,Ks (2MASS) Magnitude Lower Unc,Gaia Magnitude,Gaia Magnitude Upper Unc,Gaia Magnitude Lower Unc
3361,1,3,2014,0,4.134444,1.8e-05,-1.8e-05,0.0,0.052,0.003,-0.003,0.0,2.7,1.24,-1.24,0.0,0.241,0.111,-0.111,0.0,7.75,20.65895,-19.443815,0.0,0.0244,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,457.32,55.24,-48.47,0.0,1160.0,21.0,-21.0,0.0,0,6043.0,200.0,-200.0,0.0,1.01,0.47,-0.47,0.0,0.95,0.06,-0.05,0.0,-0.03,0.135,-0.173,0.0,1.0,4.47,0.3,-0.3,0.0,296.2860853,48.2246328,1644.61,79.32,-72.46,15.902,0.126,-0.126,14.132,0.072,-0.072,15.7042,0.000458,-0.000458
3649,1,3,2014,0,4.580358,1e-05,-1e-05,0.0,0.051,0.003,-0.003,0.0,1.4,0.1,-0.1,0.0,0.125,0.009,-0.009,0.0,17.4,15.4,-10.7,0.0,0.055,0.048,-0.034,0.0,4,0.0,0.05,-0.042,0.0,303.62,14.59,-13.84,0.0,889.0,21.0,-21.0,0.0,0,5105.0,100.0,-100.0,0.0,0.8,0.05,-0.05,0.0,0.85,0.03,-0.04,0.0,0.239,0.013,-0.013,0.0,2.0,4.56,0.15,-0.15,0.0,294.3255898,46.0022646,487.675,10.683,-10.683,13.734,0.069,-0.069,11.673,0.019,-0.019,13.6788,0.000311,-0.000311
2515,1,1,2016,0,10.67607169,6.093e-05,-6.093e-05,0.0,0.1059,0.003,-0.003,0.0,1.64,0.14,-0.1,0.0,0.146,0.012,-0.009,0.0,3.33,20.65895,-19.443815,0.0,0.0105,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,817.58,46.16,-43.37,0.0,1049.0,21.0,-21.0,0.0,0,6184.0,53.72,-58.83,0.0,1.36,0.1,-0.08,0.0,1.28,0.03,-0.03,0.0,0.35,0.054,-0.054,0.0,1.0,4.28,0.05,-0.05,0.0,297.6422563,49.594958,1530.32,38.18,-38.18,13.759,0.092,-0.092,12.112,0.024,-0.024,13.5234,0.000212,-0.000212
2629,1,1,2016,0,23.2382792,0.000222,-0.000222,0.0,0.1753,0.003,-0.003,0.0,1.68,0.69,-0.24,0.0,0.15,0.062,-0.021,0.0,3.46,20.65895,-19.443815,0.0,0.0109,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,228.22,12.29,-11.52,0.0,903.0,21.0,-21.0,0.0,0,6064.0,72.72,-86.89,0.0,1.29,0.53,-0.18,0.0,1.17,0.17,-0.07,0.0,0.14,0.152,-0.14,0.0,1.0,4.28,0.12,-0.24,0.0,288.4211892,43.179773,1475.6,36.92,-36.92,13.564,0.057,-0.057,12.471,0.018,-0.018,13.5024,0.000255,-0.000255
2789,1,1,2016,0,448.303558,0.004164,-0.004164,0.0,0.6762,0.003,-0.003,0.0,2.47,0.84,-0.35,0.0,0.22,0.075,-0.031,0.0,6.66,20.65895,-19.443815,0.0,0.021,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,6.06,0.15,-0.15,0.0,369.0,21.0,-21.0,0.0,0,6137.0,159.61,-176.47,0.0,1.19,0.4,-0.17,0.0,1.12,0.14,-0.1,0.0,0.0,0.131,-0.194,0.0,1.0,4.33,0.11,-0.2,0.0,294.4948769,43.9135575,716.76,6.705,-6.585,13.22,0.126,-0.126,11.66,0.018,-0.018,13.066,0.000366,-0.000366
3827,1,2,2014,0,7.054346,7e-05,-7e-05,0.0,0.061,0.003,-0.003,0.0,1.03,0.08,-0.08,0.0,0.092,0.007,-0.007,0.0,1.08,20.65895,-19.443815,0.0,0.0034,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,17.8,1.6,-2.1,0.0,576.0,55.0,-36.0,0.0,0,4262.0,100.0,-100.0,0.0,0.56,0.02,-0.02,0.0,0.62,0.02,-0.02,0.0,-0.02,0.09,-0.09,0.0,1.0,4.73,0.15,-0.15,0.0,293.5111889,45.1366252,421.382,8.0905,-8.0905,16.5919,0.046,-0.046,12.948,0.03,-0.03,15.9585,0.000809,-0.000809
5195,1,2,2020,0,8.24661,5e-05,-4e-05,0.0,0.0652,0.0015,-0.0015,0.0,1.85,0.13,-0.13,0.0,0.165,0.012,-0.012,0.0,4.0,0.9,-0.9,0.0,0.01259,0.00283,-0.00283,0.0,4,0.06,0.03,-0.02,0.0,11.5,0.6,-0.6,0.0,514.0,17.0,-17.0,0.0,0,3709.0,70.0,-70.0,0.0,0.54,0.02,-0.02,0.0,0.54,0.03,-0.03,0.0,-0.2,0.12,-0.12,0.0,1.0,4.73,0.03,-0.03,0.0,178.577997,-37.5533568,27.1701,0.03205,-0.03205,11.536,0.041,-0.041,7.615,0.02,-0.02,10.7409,0.000478,-0.000478
2518,1,2,2014,0,27.082511,0.000169,-0.000169,0.0,0.181,0.003,-0.003,0.0,3.37,0.84,-0.84,0.0,0.301,0.075,-0.075,0.0,11.3,20.65895,-19.443815,0.0,0.0355,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,58.7,2.17,-2.09,0.0,703.0,21.0,-21.0,0.0,0,5848.0,168.0,-168.0,0.0,1.36,0.32,-0.32,0.0,1.06,0.06,-0.05,0.0,-0.073,0.07,-0.07,0.0,2.0,4.2,0.17,-0.17,0.0,298.0676519,49.412541,809.467,11.2115,-11.2115,13.882,0.08,-0.08,12.223,0.025,-0.025,13.7057,0.000236,-0.000236
3523,1,2,2014,0,12.699149,7.1e-05,-7.1e-05,0.0,0.104,0.003,-0.003,0.0,2.24,0.98,-0.98,0.0,0.2,0.087,-0.087,0.0,5.65,20.65895,-19.443815,0.0,0.0178,0.066,-0.06055,0.0,1,0.0,0.05,-0.042,0.0,38.37,4.02,-3.64,0.0,686.0,21.0,-21.0,0.0,0,5615.0,200.0,-200.0,0.0,0.81,0.36,-0.36,0.0,0.92,0.04,-0.04,0.0,0.14,0.15,-0.15,0.0,1.0,4.58,0.3,-0.3,0.0,293.1465698,47.7297053,1031.95,33.35,-31.36,15.944,0.252,-0.252,14.079,0.085,-0.085,15.8126,0.000491,-0.000491
1102,1,2,2021,0,16000.0,11000.0,-3500.0,0.0,13.2,5.3,-2.0,0.0,12.3,0.28,-0.22,0.0,1.09,0.025,-0.02,0.0,4767.4261,889.91954,-476.74261,0.0,15.0,2.8,-1.5,0.0,3,0.45,0.13,-0.081,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,5883.41,103.85,-103.85,0.0,1.26,0.03,-0.03,0.0,1.17,0.05,-0.05,0.0,0.305,0.057,-0.057,0.0,1.0,4.31,0.03,-0.03,0.0,124.5935429,61.4608518,60.8447,0.1918,-0.1906,8.2,0.03,-0.03,6.743,0.024,-0.024,8.04611,0.000385,-0.000385
