,Planet Name,Number of Stars,Number of Planets,Discovery Year,Controversial Flag,Orbital Period [days],Orbital Period Upper Unc. [days],Orbital Period Lower Unc. [days],Orbital Period Limit Flag,Orbit Semi-Major Axis [au],Orbit Semi-Major Axis Upper Unc. [au],Orbit Semi-Major Axis Lower Unc. [au],Orbit Semi-Major Axis Limit Flag,Planet Radius [Earth Radius],Planet Radius Upper Unc. [Earth Radius],Planet Radius Lower Unc. [Earth Radius],Planet Radius Limit Flag,Planet Radius [Jupiter Radius],Planet Radius Upper Unc. [Jupiter Radius],Planet Radius Lower Unc. [Jupiter Radius],Planet Radius Limit Flag,Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.,Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.,Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag,Planet Mass or Mass*sin(i) [Jupiter Mass],Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.,Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.,Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag,Planet Mass or Mass*sin(i) Provenance,Eccentricity,Eccentricity Upper Unc.,Eccentricity Lower Unc.,Eccentricity Limit Flag,Insolation Flux [Earth Flux],Insolation Flux Upper Unc. [Earth Flux],Insolation Flux Lower Unc. [Earth Flux],Insolation Flux Limit Flag,Equilibrium Temperature [K],Equilibrium Temperature Upper Unc. [K],Equilibrium Temperature Lower Unc. [K],Equilibrium Temperature Limit Flag,Data show Transit Timing Variations,Stellar Effective Temperature [K],Stellar Effective Temperature Upper Unc. [K],Stellar Effective Temperature Lower Unc. [K],Stellar Effective Temperature Limit Flag,Stellar Radius [Solar Radius],Stellar Radius Upper Unc. [Solar Radius],Stellar Radius Lower Unc. [Solar Radius],Stellar Radius Limit Flag,Stellar Mass [Solar mass],Stellar Mass Upper Unc. [Solar mass],Stellar Mass Lower Unc. [Solar mass],Stellar Mass Limit Flag,Stellar Metallicity [dex],Stellar Metallicity Upper Unc. [dex],Stellar Metallicity Lower Unc. [dex],Stellar Metallicity Limit Flag,Stellar Metallicity Ratio,Stellar Surface Gravity [log10(cm/s**2)],Stellar Surface Gravity Upper Unc. [log10(cm/s**2)],Stellar Surface Gravity Lower Unc. [log10(cm/s**2)],Stellar Surface Gravity Limit Flag,RA [deg],Dec [deg],Distance [pc],Distance [pc] Upper Unc,Distance [pc] Lower Unc,V (Johnson) Magnitude,V (Johnson) Magnitude Upper Unc,V (Johnson) Magnitude Lower Unc,Ks (2MASS) Magnitude,Ks (2MASS) Magnitude Upper Unc,Ks (2MASS) Magnitude Lower Unc,Gaia Magnitude,Gaia Magnitude Upper Unc,Gaia Magnitude Lower Unc
0,11 Com b,2,1,2007,0,326.03,0.32,-0.32,0.0,1.29,0.05,-0.05,0.0,12.1,0.28,-0.22,0.0,1.08,0.025,-0.02,0.0,6165.6,476.7,-476.7,0.0,19.4,1.5,-1.5,0.0,3,0.231,0.005,-0.005,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,4742.0,100.0,-100.0,0.0,19.0,2.0,-2.0,0.0,2.7,0.3,-0.3,0.0,-0.35,0.09,-0.09,0.0,1.0,2.31,0.1,-0.1,0.0,185.1787793,17.7932516,93.1846,1.9238,-1.9238,4.72307,0.023,-0.023,2.282,0.346,-0.346,4.44038,0.0038479,-0.0038479
1,11 UMi b,1,1,2009,0,516.21997,3.2,-3.2,0.0,1.53,0.07,-0.07,0.0,12.3,0.28,-0.22,0.0,1.09,0.025,-0.02,0.0,4684.8142,794.575,-794.575,0.0,14.74,2.5,-2.5,0.0,3,0.08,0.03,-0.03,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,4213.0,46.0,-46.0,0.0,29.79,2.84,-2.84,0.0,2.78,0.69,-0.69,0.0,-0.02,0.1,-0.1,0.0,1.0,1.93,0.07,-0.07,0.0,229.2745954,71.8239428,125.321,1.9765,-1.9765,5.013,0.005,-0.005,1.939,0.27,-0.27,4.56216,0.0039035,-0.0039035
2,14 And b,1,1,2008,0,185.84,0.23,-0.23,0.0,0.83,0.003,-0.003,0.0,12.9,0.28,-0.22,0.0,1.15,0.025,-0.02,0.0,1525.5,20.65895,-19.443815,0.0,4.8,0.066,-0.06055,0.0,3,0.0,0.05,-0.042,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,4813.0,20.0,-20.0,0.0,11.0,1.0,-1.0,0.0,2.2,0.1,-0.2,0.0,-0.24,0.03,-0.03,0.0,1.0,2.63,0.07,-0.07,0.0,352.82415,39.2358367,75.4392,0.714,-0.714,5.23133,0.023,-0.023,2.331,0.24,-0.24,4.91781,0.0028262,-0.0028262
3,14 Her b,1,2,2002,0,1765.0389,1.67709,-1.87256,0.0,2.774,0.109,-0.12,0.0,12.6,0.28,-0.22,0.0,1.12,0.025,-0.02,0.0,2559.47216,518.69596,-280.64248,0.0,8.053,1.632,-0.883,0.0,4,0.373,0.008,-0.006,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,5338.0,25.0,-25.0,0.0,0.93,0.01,-0.01,0.0,0.91,0.11,-0.11,0.0,0.405,0.047,-0.047,0.0,1.0,4.45,0.02,-0.02,0.0,242.6021014,43.8163621,17.9323,0.0073,-0.0073,6.61935,0.023,-0.023,4.714,0.016,-0.016,6.383,0.0003512,-0.0003512
4,16 Cyg B b,3,1,1996,0,798.5,1.0,-1.0,0.0,1.66,0.03,-0.03,0.0,13.5,0.28,-0.22,0.0,1.2,0.025,-0.02,0.0,565.7374,25.4264,-25.4264,0.0,1.78,0.08,-0.08,0.0,3,0.68,0.02,-0.02,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,5750.0,8.0,-8.0,0.0,1.13,0.01,-0.01,0.0,1.08,0.04,-0.04,0.0,0.06,0.1,-0.1,0.0,1.0,4.36,0.01,-0.01,0.0,295.4656422,50.5168243,21.1397,0.011,-0.0111,6.215,0.016,-0.016,4.651,0.016,-0.016,6.06428,0.0006029,-0.0006029
5,17 Sco b,1,1,2020,0,578.38,2.01,-2.09,0.0,1.45,0.02,-0.02,0.0,12.9,0.28,-0.22,0.0,1.15,0.025,-0.02,0.0,1373.01872,47.67426,-38.13941,0.0,4.32,0.15,-0.12,0.0,3,0.06,0.03,-0.02,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,4157.0,11.0,-10.0,0.0,25.92,0.78,-0.74,0.0,1.22,0.13,-0.14,0.0,-0.01,0.1,-0.1,0.0,1.0,1.7,0.04,-0.06,0.0,243.4620874,-11.8377905,124.953,2.59,-2.59,5.22606,0.023,-0.023,2.094,0.244,-0.244,4.75429,0.005055,-0.005055
6,18 Del b,2,1,2008,0,993.3,3.2,-3.2,0.0,2.6,0.003,-0.003,0.0,12.5,0.28,-0.22,0.0,1.11,0.025,-0.02,0.0,3273.5,20.65895,-19.443815,0.0,10.3,0.066,-0.06055,0.0,3,0.08,0.01,-0.01,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,4979.0,18.0,-18.0,0.0,8.5,0.06,-0.05,0.0,2.3,0.05,-0.05,0.0,-0.052,0.023,-0.023,0.0,1.0,2.82,0.06,-0.06,0.0,314.6078375,10.8391378,76.222,0.6217,-0.6217,5.51048,0.023,-0.023,3.366,0.204,-0.204,5.27476,0.0026539,-0.0026539
7,1RXS J160929.1-210524 b,1,1,2008,0,11.558337715,0.0001,-0.0001,0.0,330.0,0.003,-0.003,0.0,18.647,0.28,-0.22,0.0,1.664,0.025,-0.02,0.0,3000.0,300.0,-300.0,0.0,8.0,1.0,-1.0,0.0,4,0.0,0.05,-0.042,0.0,98.435,6.43,-5.6,0.0,1700.0,100.0,-100.0,0.0,0,4060.0,300.0,-200.0,0.0,1.31,0.18,-0.1,0.0,0.85,0.2,-0.1,0.0,0.02,0.1,-0.1,0.0,1.0,4.0,0.14,-0.1,0.0,242.3762343,-21.0831403,139.135,1.332,-1.307,12.618,0.069,-0.069,8.916,0.021,-0.021,12.0572,0.002275,-0.002275
8,24 Boo b,1,1,2018,0,30.3506,0.0078,-0.0077,0.0,0.19,0.012,-0.009,0.0,13.9,0.28,-0.22,0.0,1.24,0.025,-0.02,0.0,289.2253,41.3179,-31.783,0.0,0.91,0.13,-0.1,0.0,3,0.042,0.048,-0.029,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,4893.0,15.0,-15.0,0.0,10.64,0.84,-0.59,0.0,0.99,0.19,-0.13,0.0,-0.77,0.03,-0.03,0.0,1.0,2.42,0.1,-0.1,0.0,217.1555242,49.8446488,95.9863,0.63685,-0.63685,5.59,0.001,-0.001,3.159,0.28,-0.28,5.3339,0.0019998,-0.0019998
9,24 Sex b,1,2,2010,0,452.8,2.1,-4.5,0.0,1.333,0.004,-0.009,0.0,13.4,0.28,-0.22,0.0,1.19,0.025,-0.02,0.0,632.46,82.63,-120.77,0.0,1.99,0.26,-0.38,0.0,3,0.09,0.14,-0.06,0.0,98.435,6.43,-5.6,0.0,821.5,21.0,-21.0,0.0,0,5098.0,44.0,-44.0,0.0,4.9,0.08,-0.08,0.0,1.54,0.08,-0.08,0.0,-0.03,0.04,-0.04,0.0,1.0,3.5,0.1,-0.1,0.0,155.8684866,-0.9023998,72.0691,0.6854,-0.6728,6.4535,0.023,-0.023,4.285,0.016,-0.016,6.20374,0.0004976,-0.0004976
