Planet Name
Kepler-228 c
Kepler-326 c
Kepler-1428 b
Kepler-1511 b
Kepler-1632 b
Kepler-395 b
TOI-776 b
Kepler-143 c
Kepler-284 b
HD 68988 c
Kepler-1679 b
HATS-36 b
Kepler-79 c
Kepler-77 b
EPIC 212499991 b
Kepler-31 b
GJ 160.2 b
HD 141399 b
HD 148164 b
Kepler-340 b
Kepler-937 b
HD 5583 b
Kepler-1776 b
ups And d
Kepler-479 b
Kepler-79 e
Kepler-989 b
Kepler-1012 b
HAT-P-22 b
Kepler-396 c
Kepler-1934 b
Kepler-1522 b
HD 142 c
Wolf 1061 c
K2-387 b
Kepler-203 d
HD 10442 b
Kepler-866 b
bet Pic c
LTT 1445 A c
WASP-117 b
Kepler-1999 b
Kepler-725 b
OGLE-2016-BLG-1195L b
HD 180902 b
HD 110082 b
Kepler-821 b
6 Lyn b
Kepler-292 d
Kepler-748 b
Kepler-177 c
TOI-4145 A b
HD 86065 b
Kepler-1067 b
Kepler-1830 b
HD 176986 c
TOI-2445 b
Kepler-254 c
WASP-43 b
K2-414 c
Kepler-1817 b
Kepler-104 c
KMT-2016-BLG-1105L b
Kepler-949 c
USco1621 b
CoRoT-28 b
Kepler-1887 b
OGLE-2019-BLG-0468L b
HD 190228 b
Kepler-136 b
Kepler-296 f
Kepler-1530 c
Kepler-1642 c
GJ 338 B b
HD 213240 b
HD 99492 b
K2-18 c
Kepler-1857 b
HATS-33 b
EPIC 248847494 b
HD 114783 c
Kepler-530 b
Kepler-154 f
Proxima Cen b
KIC 10001893 d
Kepler-1864 b
HD 140901 c
Kepler-51 c
Kepler-1273 b
HD 156098 b
HD 86264 b
Kepler-1399 b
TOI-733 b
KMT-2021-BLG-0712L b
Kepler-733 b
KIC 8540376 c
L 98-59 c
K2-411 b
Kepler-10 d
Kepler-122 d
K2-343 b
Kepler-235 d
Kepler-1436 b
Kepler-1530 b
HD 125271 b
TOI-2497 b
Kepler-643 b
Kepler-996 b
NGTS-20 b
Kepler-1732 b
K2-281 b
Kepler-1744 b
Kepler-1055 b
WASP-93 b
Kepler-774 b
HAT-P-44 c
Kepler-932 b
Kepler-624 b
Kepler-1705 b
Kepler-1790 b
Kepler-540 b
HD 90156 b
Kepler-376 b
HAT-P-18 b
HD 47366 c
Kepler-296 b
Kepler-487 b
TOI-4010 e
Kepler-271 d
Kepler-186 d
K2-74 b
Kepler-1371 b
Kepler-1115 b
K2-90 b
HD 96063 b
KMT-2021-BLG-1105L b
HD 142 A d
Kepler-299 c
Kepler-268 b
Kepler-356 c
K2-233 c
HD 95089 b
HAT-P-20 b
HD 149806 b
Kepler-1118 b
HD 220074 b
55 Cnc e
HD 7449 b
Kepler-1880 b
TOI-3785 b
Kepler-128 b
Kepler-1054 b
OGLE-2016-BLG-1227L b
Kepler-1321 c
Kepler-951 b
Kepler-50 c
Kepler-1480 b
Kepler-732 b
Kepler-126 d
K2-263 b
Kepler-1669 c
K2-163 b
Kepler-47 d
HD 40979 b
PSR B1257+12 b
Kepler-1702 b
OGLE-2018-BLG-0516L b
Kepler-372 b
Kepler-1637 b
HD 22532 b
HD 20003 c
TOI-776 c
K2-390 b
K2-72 b
HD 3167 d
Kepler-1944 b
Kepler-1433 b
K2-63 b
K2-356 b
Kepler-1982 b
HATS-53 b
Kepler-515 b
KIC 5095269 b
Kepler-1851 b
Kepler-1474 b
Kepler-51 d
Kepler-1062 b
Kepler-1715 b
Kepler-112 c
Kepler-953 c
Kepler-467 b
Kepler-296 c
Kepler-1748 b
FU Tau b
Kepler-1610 c
Kepler-92 c
Kepler-1109 b
K2-75 b
Kepler-160 b
Kepler-504 b
TIC 237913194 b
Kepler-187 c
GJ 317 b
Qatar-10 b
K2-52 b
Kepler-712 c
K2-204 b
HD 15906 c
Kepler-1049 b
Kepler-1246 b
WASP-110 b
Kepler-1561 b
Kepler-1566 b
HD 69830 d
Kepler-1130 c
HD 203387 b
WASP-26 b
KMT-2021-BLG-0748L b
HD 14067 b
Kepler-267 b
Kepler-445 b
K2-407 c
Kepler-1728 b
EPIC 201615463 c
Kepler-1960 b
Kepler-1603 b
HD 128311 b
Kepler-140 c
Kepler-1457 b
PZ Tel b
HD 93385 c
Kepler-1734 b
HD 219134 d
Kepler-1172 b
Kepler-1386 b
HD 20329 b
OGLE-2017-BLG-1049L b
Kepler-527 b
Kepler-195 c
HIP 75056 A b
HD 33844 b
Kepler-1600 b
K2-65 b
Kepler-793 b
HAT-P-43 b
NGTS-17 b
Kepler-1111 b
Kepler-338 d
K2-24 b
Kepler-224 b
HIP 34222 b
Kepler-1258 b
TRAPPIST-1 c
BD+20 2457 b
Kepler-30 d
Kepler-880 b
Kepler-1661 b
Kepler-1875 b
K2-324 b
K2-231 b
K2-223 c
Kepler-1312 b
Kepler-1100 b
Kepler-468 b
WASP-89 b
Kepler-169 b
HATS-59 b
Kepler-211 c
K2-323 b
WASP-124 b
K2-325 b
Kepler-1611 b
Kepler-55 d
HIP 4845 b
Kepler-22 b
Kepler-83 c
TOI-257 b
K2-244 b
HATS-7 b
Kepler-169 e
Kepler-520 b
Kepler-178 b
K2-284 b
Pr0211 b
HD 81817 c
Kepler-1112 b
K2-117 b
Kepler-1061 b
Kepler-1625 b
Kepler-128 c
Kepler-146 c
Kepler-326 b
Kepler-991 b
HATS-38 b
HD 260655 c
HD 196050 b
Kepler-489 b
GJ 433 d
WASP-7 b
HD 149143 b
K2-86 b
Kepler-281 c
NGTS-18 b
Kepler-1501 b
Kepler-122 c
47 UMa d
HD 64114 b
Kepler-135 c
Kepler-122 f
CoRoT-6 b
Kepler-1307 b
BD+45 564 b
K2-113 b
HD 1605 b
HIP 21152 b
Kepler-316 c
GJ 676 A c
Kepler-286 c
KMT-2017-BLG-1194L b
HD 158038 b
Kepler-1538 b
Kepler-423 b
HD 79498 b
Kepler-1753 b
Kepler-1878 b
Kepler-1727 b
K2-139 b
Kepler-1419 b
Kepler-1324 b
Kepler-356 b
Kepler-507 b
Kepler-1614 b
Kepler-122 b
Kepler-488 b
Kepler-252 b
Kepler-954 b
Kepler-93 b
Kepler-884 b
CT Cha b
Kepler-1031 b
K2-46 b
Kepler-213 c
Kepler-1894 c
Kepler-1013 b
Kepler-23 b
Kepler-336 d
K2-343 c
Kepler-1605 b
TOI-5153 b
Kepler-1609 b
WASP-50 b
Kepler-673 b
HD 154345 b
Kepler-250 b
LP 791-18 c
HD 40307 b
HD 120084 b
Kepler-876 b
Kepler-1710 b
HD 98649 b
Kepler-137 c
Kepler-147 c
K2-254 c
Kepler-265 b
Kepler-266 b
GJ 581 e
